sale_id,product_id,customer_id,sale_price,quantity,sale_date,VIP_status
1001,P101,C_001,150,2,15-01-2023,Non-VIP
1002,P102,C_002,75,3,01/20/2023,Non-VIP
1003,P103,C_001,250.5,1,25-01-2023,Non-VIP
1004,P101,C_003,150,4,01-02-2023,Non-VIP
1005,P104,C_004,30,,05-02-2023,Non-VIP
1006,P102,C_005,75,2,10-02-2023,Non-VIP
1007,P105,C_003,120,1,02/15/2023,Non-VIP
1008,P101,C_006,150,3,20-02-2023,Non-VIP
1009,P103,C_007,,2,25-02-2023,Non-VIP
1010,P104,C_008,30,5,01-03-2023,Non-VIP
1011,P102,C_009,75,1,05-03-2023,Non-VIP
1012,P105,C_001,120,3,10-03-2023,Non-VIP
1013,P103,C_010,250.5,1,15-03-2023,Non-VIP
1014,P101,C_014,,3,01-02-2023,Non-VIP
1015,P102,C_024,,,11-03-2023,VIP
1016,P105,C_065,150,1,12-01-2023,VIP
1017,P102,C_075,120,1,13-03-2023,VIP
1018,P105,C_064,75,4,03/17/2023,VIP
1019,P101,C_031,,4,02/13/2023,VIP
1020,P102,C_038,250.5,1,01-12-2023,Non-VIP
1021,P101,C_056,250.5,5,03-02-2023,VIP
1022,P104,C_079,150,4,11-01-2023,VIP
1023,P103,C_091,120,3,15-03-2023,Non-VIP
1024,P101,C_016,,2,07-02-2023,VIP
1025,P102,C_023,30,3,28-02-2023,Non-VIP
1026,P103,C_031,250.5,3,27-01-2023,VIP
1027,P103,C_098,,1,19-03-2023,VIP
1028,P102,C_079,,2,01/21/2023,VIP
1029,P104,C_045,,,13-03-2023,VIP
1030,P103,C_018,75,1,02-10-2023,Non-VIP
1031,P103,C_019,75,5,10-02-2023,VIP
1032,P104,C_061,,4,01/19/2023,VIP
1033,P102,C_042,,5,03-10-2023,VIP
1034,P105,C_065,120,4,16-02-2023,VIP
1035,P102,C_076,30,1,07-01-2023,VIP
1036,P102,C_091,75,,24-02-2023,Non-VIP
1037,P101,C_060,30,5,01-03-2023,VIP
1038,P103,C_081,150,,15-01-2023,VIP
1039,P105,C_045,,3,01/15/2023,VIP
1040,P104,C_031,30,1,03-02-2023,VIP
1041,P102,C_075,150,,08-02-2023,VIP
1042,P105,C_088,75,2,17-02-2023,VIP
1043,P105,C_078,150,5,02-11-2023,VIP
1044,P101,C_025,250.5,3,31-01-2023,VIP
1045,P102,C_083,150,1,04-03-2023,VIP
1046,P105,C_027,75,,02-03-2023,VIP
1047,P102,C_044,120,5,24-02-2023,Non-VIP
1048,P105,C_099,75,,02-09-2023,VIP
1049,P103,C_067,120,4,16-01-2023,VIP
1050,P102,C_019,250.5,1,17-03-2023,VIP
1051,P102,C_086,75,1,10-01-2023,Non-VIP
1052,P101,C_040,150,1,12-02-2023,VIP
1053,P105,C_041,250.5,,04-03-2023,VIP
1054,P105,C_027,,5,03/15/2023,VIP
1055,P102,C_071,30,2,13-01-2023,VIP
1056,P104,C_056,30,4,01-03-2023,VIP
1057,P101,C_097,,,13-01-2023,Non-VIP
1058,P104,C_054,150,2,25-01-2023,VIP
1059,P105,C_068,75,4,01/24/2023,VIP
1060,P104,C_042,150,4,12-03-2023,VIP
1061,P101,C_094,120,1,12-01-2023,Non-VIP
1062,P102,C_063,30,4,01/28/2023,Non-VIP
1063,P101,C_032,30,1,02/19/2023,VIP
1064,P104,C_047,30,,13-03-2023,Non-VIP
1065,P104,C_030,75,3,28-01-2023,Non-VIP
1066,P105,C_080,150,,10-02-2023,VIP
1067,P101,C_085,30,5,09-03-2023,VIP
1068,P101,C_076,150,2,09-01-2023,VIP
1069,P101,C_097,75,4,16-01-2023,Non-VIP
1070,P102,C_085,120,1,21-03-2023,VIP
1071,P104,C_095,120,5,03-08-2023,VIP
1072,P103,C_037,,,10-02-2023,Non-VIP
1073,P103,C_061,75,,03/24/2023,VIP
1074,P104,C_051,150,1,28-02-2023,VIP
1075,P105,C_023,150,5,28-01-2023,Non-VIP
1076,P103,C_027,250.5,1,02-01-2023,VIP
1077,P103,C_031,30,5,04-01-2023,VIP
1078,P105,C_094,120,1,27-03-2023,Non-VIP
1079,P103,C_095,150,2,03-02-2023,VIP
1080,P101,C_081,75,3,06-02-2023,VIP
1081,P102,C_054,75,,03/23/2023,VIP
1082,P105,C_073,250.5,1,12-01-2023,VIP
1083,P104,C_046,150,1,12-02-2023,VIP
1084,P103,C_031,,4,12-03-2023,VIP
1085,P104,C_082,150,1,10-01-2023,Non-VIP
1086,P102,C_080,150,3,16-03-2023,VIP
1087,P102,C_066,75,1,02-09-2023,Non-VIP
1088,P101,C_056,75,,01-02-2023,VIP
1089,P101,C_056,120,4,21-03-2023,VIP
1090,P102,C_041,75,2,22-02-2023,VIP
1091,P102,C_053,30,,02-01-2023,VIP
1092,P102,C_024,30,1,02-03-2023,VIP
1093,P102,C_069,250.5,3,30-01-2023,VIP
1094,P101,C_095,75,4,02-12-2023,VIP
1095,P101,C_046,250.5,,03-07-2023,VIP
1096,P105,C_053,150,1,03-02-2023,VIP
1097,P105,C_044,150,1,03/18/2023,Non-VIP
1098,P103,C_051,30,5,07-03-2023,VIP
1099,P104,C_084,75,3,06-01-2023,VIP
1100,P104,C_011,120,5,29-03-2023,Non-VIP
1101,P102,C_057,30,1,03/27/2023,Non-VIP
1102,P105,C_051,,1,08-02-2023,VIP
1103,P103,C_096,30,3,21-02-2023,Non-VIP
1104,P103,C_081,75,2,23-02-2023,VIP
1105,P104,C_097,,2,20-03-2023,Non-VIP
1106,P103,C_062,120,1,02-08-2023,VIP
1107,P102,C_066,120,5,03/25/2023,Non-VIP
1108,P104,C_067,30,,28-01-2023,VIP
1109,P104,C_032,,1,06-02-2023,VIP
1110,P105,C_053,150,2,03/28/2023,VIP
1111,P102,C_036,75,1,06-01-2023,Non-VIP
1112,P104,C_089,150,4,23-02-2023,Non-VIP
1113,P105,C_035,,,02/19/2023,VIP
1114,P104,C_042,75,,30-03-2023,VIP
1115,P101,C_065,75,2,31-03-2023,VIP
1116,P104,C_017,120,2,01/16/2023,VIP
1117,P102,C_070,,5,13-03-2023,Non-VIP
1118,P103,C_067,120,,03-06-2023,VIP
1119,P105,C_068,75,,03-02-2023,VIP
1120,P103,C_042,,3,03-08-2023,VIP
1121,P102,C_046,30,1,06-02-2023,VIP
1122,P103,C_053,250.5,5,11-01-2023,VIP
1123,P102,C_040,30,,20-01-2023,VIP
1124,P102,C_019,30,4,12-02-2023,VIP
1125,P104,C_064,150,2,02/23/2023,VIP
1126,P105,C_013,120,4,03-03-2023,Non-VIP
1127,P103,C_049,30,4,10-03-2023,Non-VIP
1128,P105,C_088,75,4,01/29/2023,VIP
1129,P104,C_073,150,4,13-02-2023,VIP
1130,P104,C_032,30,2,21-03-2023,VIP
1131,P101,C_061,120,5,26-03-2023,VIP
1132,P101,C_093,30,2,01-03-2023,Non-VIP
1133,P101,C_044,30,3,01/28/2023,Non-VIP
1134,P103,C_054,30,3,02/23/2023,VIP
1135,P101,C_071,150,,11-03-2023,VIP
1136,P103,C_039,,1,25-03-2023,VIP
1137,P101,C_042,75,1,21-03-2023,VIP
1138,P102,C_027,30,,15-01-2023,VIP
